Longitude,Latitude,vin cnt
-85.5060841,33.646553,4
-85.5018143,32.5668209,585
-85.498075,32.5741892,636
-85.463608,32.6179643,136
-85.4615522,32.6190245,195
-85.4601597,32.6197916,6
-85.4431633,32.6095443,277
-85.4302225,32.6060002,209
-85.3956032,33.1783422,57
-85.3839149,32.648411,25
-85.3756047,32.6539645,54
-85.3671631,33.5950978,2
-85.3618377,32.6430126,164
-85.3618236,32.6443793,611
-85.3576038,32.6429102,813
-85.348632,32.643452,1
-85.3091248,34.5271558,11
-85.291956,33.7441501,14
-85.2746609,34.7383585,46
-85.2555183,34.0074587,115
-85.24825,33.5399641,182
-85.2291259,34.956776,1
-85.2139912,32.8189315,131
-85.2118313,32.8185124,137
-85.2085247,34.2679034,71
-85.2050235,34.0157925,295
-85.1904165,32.8536648,1
-85.1870735,32.8729196,32
-85.1811862,34.2684447,137
-85.1798219,34.2633237,14
-85.1754665,34.2600509,23
-85.1654012,33.7612774,595
-85.160019,34.236395,78
-85.1523327,34.2232871,620
-85.152177,34.222352,583
-85.1517302,34.2241381,576
-85.1450103,34.2771823,355
-85.1428,33.7238,135
-85.13207,34.900919,1493
-85.125851,34.914385,20
-85.1042432,34.9108845,41
-85.085595,33.6084049,192
-85.0808454,33.6019187,577
-85.064125,33.580475,328
-85.055308,33.587321,310
-85.0529572,33.5880212,184
-85.0369666,33.5977759,4
-85.0292939,33.091959,5
-85.0291518,33.0561864,53
-85.0086867,33.0390544,197
-85.0047919,33.613149,12
-85.0025211,33.0418613,383
-85.0005482,33.0421732,1491
-84.9957704,33.9258797,6
-84.994321,33.0417262,107
-84.9933306,33.0411023,1117
-84.9921549,34.7486859,391
-84.9910629,34.6914668,29
-84.9624118,34.7615953,448
-84.9477191,34.4895711,2
-84.9438725,34.7603836,70
-84.9401462,33.7181581,487
-84.938312,34.761041,1292
-84.9360712,34.7782867,10
-84.9282907,34.476221,155
-84.9219676,34.4763968,27
-84.9171368,33.7291858,51
-84.8464105,33.4143687,24
-84.8339722,34.1465248,157
-84.8324896,34.1486638,18
-84.8272508,33.91752,192
-84.8224538,34.782195,48
-84.8208239,33.7304838,11
-84.818149,34.220383,1
-84.8173027,34.2059007,2
-84.8115162,34.2394997,122
-84.8114403,34.2037184,276
-84.798126,33.910071,67
-84.7978309,34.1938556,4
-84.7944741,34.1845583,19
-84.7940983,34.1740305,2
-84.7937811,33.3624243,123
-84.792069,33.3613829,9
-84.789625,34.1627731,282
-84.78876,34.167023,180
-84.78775,34.1915119,438
-84.7864286,34.1842944,104
-84.784979,33.7404892,22
-84.7829824,34.1696421,983
-84.7820587,34.1701195,97
-84.7818643,34.1709519,70
-84.781289,33.3318483,64
-84.7809011,33.9094265,1
-84.7777784,33.9106346,239
-84.7727307,33.9168066,1841
-84.7692394,33.392818,74
-84.7684172,33.917135,346
-84.7665776,33.919044,805
-84.765272,33.968349,233
-84.7639314,33.3976624,2
-84.7626813,33.38713,608
-84.7618965,33.8953408,274
-84.7562809,33.3984361,651
-84.7552483,33.3958126,1147
-84.7521392,33.3957329,678
-84.7519839,34.215221,75
-84.7513861,33.3977818,1235
-84.7511834,33.7911848,1
-84.7387999,33.7579103,19
-84.737171,33.3973595,42
-84.7280811,34.08569,7
-84.726673,33.400785,1754
-84.7202944,33.4032756,242
-84.7037976,33.7486034,364
-84.6979444,34.0460732,29
-84.6974118,34.2212522,94
-84.684243,33.4469456,454
-84.6630232,33.7130176,30
-84.6608664,34.0587055,93
-84.6600499,34.0625454,10
-84.659983,34.063318,2
-84.6391244,34.0792461,8
-84.6292384,33.7908044,664
-84.619107,34.0177488,192
-84.6158384,33.7861511,600
-84.6134004,33.7862383,438
-84.6127233,33.7837781,795
-84.6124046,33.8312991,42
-84.6117935,33.7860983,649
-84.6101938,33.7835945,777
-84.610022,33.7859209,2267
-84.6083836,34.0300117,6
-84.6069876,33.8179683,8
-84.6065196,33.7821887,43
-84.6050623,33.7729514,1219
-84.6043238,34.0025907,2
-84.603529,33.786448,15
-84.6025891,33.7699391,599
-84.602018,34.045991,13
-84.6020115,33.7688202,437
-84.5996227,33.9451016,1
-84.5865953,33.5573784,6
-84.585468,33.7680248,5
-84.5852916,34.118874,1
-84.5848732,33.9981764,8229
-84.5828765,34.0893048,39
-84.5817367,34.0028545,173
-84.5803385,34.0882839,685
-84.5799032,33.5522241,10
-84.579227,34.0081886,1046
-84.5790488,34.0068712,677
-84.5790439,33.8899821,19
-84.5787082,34.0060169,703
-84.5786846,34.0028715,775
-84.5786017,34.0094355,1443
-84.578479,34.0044687,1009
-84.5782331,34.0103796,656
-84.5768237,34.0099903,608
-84.5757413,34.0881965,141
-84.574489,34.0247638,716
-84.5700848,33.9017768,152
-84.558704,34.086155,119
-84.5582936,33.9115332,33
-84.5582322,33.5785515,1
-84.5574519,34.0854485,121
-84.5549978,33.980172,669
-84.5491401,33.9188869,22
-84.5483208,33.9311141,558
-84.5475672,33.9763739,1989
-84.5450506,33.9757564,67
-84.5427653,33.905661,241
-84.5417592,33.9371282,573
-84.5411663,34.086373,1373
-84.5404866,33.8978531,85
-84.5401241,33.942496,11
-84.5401157,33.9425267,20
-84.5394067,33.9817814,110
-84.538368,33.570628,1151
-84.5380066,33.9437572,204
-84.5379455,33.9488147,380
-84.5377463,33.9508705,667
-84.5366146,33.9486037,91
-84.5350332,33.9481748,87
-84.5349344,33.9570191,134
-84.5345951,33.8840734,22
-84.53459,33.95574,187
-84.5345532,33.8795459,48
-84.5337566,33.8801967,758
-84.533698,33.894743,55
-84.5334152,33.9657085,184
-84.5325092,33.9101651,170
-84.531473,34.212852,10
-84.531252,33.568115,566
-84.5303233,33.5671951,755
-84.5301032,33.9616028,132
-84.5298779,33.9627435,148
-84.5297849,33.568457,792
-84.5292041,34.1048139,516
-84.5281912,33.5685622,1767
-84.5276476,33.9513067,266
-84.5274458,33.5657071,4619
-84.5270911,33.9514601,4
-84.5253318,33.9505135,5
-84.5253215,33.5685886,1391
-84.5250468,33.5667849,624
-84.5245956,33.9505445,393
-84.5245773,33.9867483,526
-84.5236547,34.1316343,440
-84.5233202,33.5689979,284
-84.5232634,33.9013154,2
-84.5222178,33.5677153,430
-84.5219152,34.0790741,81
-84.5218093,33.9810106,24
-84.5217676,33.5644591,81
-84.521374,33.5665934,516
-84.5201239,33.5635531,206
-84.5196383,33.9515199,436
-84.5195091,33.5628119,4535
-84.519393,34.0820825,32
-84.5185027,33.9517585,258
-84.5180419,33.8603553,1223
-84.5176344,33.9428049,1668
-84.517127,33.561073,71
-84.515296,33.939874,1105
-84.5145093,33.9406926,1026
-84.5134223,33.9381337,540
-84.5129133,33.9339893,839
-84.5121547,33.588567,713
-84.511843,33.9423745,68
-84.5116689,33.9327976,630
-84.5108043,33.9390419,219
-84.5102226,33.9333839,2318
-84.5099515,34.0880498,2
-84.5098458,33.9287932,86
-84.5091802,33.9312397,577
-84.5085341,33.9299991,723
-84.5079853,34.1421839,11
-84.5079414,33.928584,1589
-84.507443,33.927334,47
-84.5066724,34.4693186,205
-84.5062962,33.9259071,2054
-84.5062633,34.0873917,304
-84.5062631,33.8895748,2
-84.5055662,33.9483532,29
-84.5052126,33.9232927,130
-84.505056,33.9238664,1291
-84.504718,33.9532139,205
-84.5046749,33.9522883,78
-84.504516,33.951448,191
-84.504419,33.9522972,44
-84.504349,33.953666,119
-84.5037772,33.9220939,193
-84.5032413,34.0855666,337
-84.5031138,33.954688,1836
-84.5021361,34.1824659,588
-84.502096,34.0880198,9
-84.501385,33.919012,691
-84.5008952,33.9578285,5
-84.4986787,33.9589811,1289
-84.4984731,33.9030251,271
-84.4983957,33.9524194,755
-84.4980679,33.9453698,134
-84.4972224,33.9144674,1035
-84.4969152,34.194074,86
-84.496568,33.905457,1
-84.4961142,33.913846,26
-84.4958524,33.9508779,24
-84.4941804,33.9638696,605
-84.4940147,33.9085352,604
-84.493493,33.913584,91
-84.4931709,33.9080353,190
-84.4931241,33.9487848,13
-84.4930642,33.9651035,486
-84.4924742,33.9072657,598
-84.4914713,34.6561903,90
-84.4912873,33.9071248,49
-84.4903322,33.9134238,349
-84.4892335,33.9098086,400
-84.4886626,33.9032715,1114
-84.4885859,34.6707325,539
-84.4852274,33.8986893,504
-84.4850147,33.9003456,103
-84.4849871,33.9013388,1235
-84.4843799,33.8558208,2
-84.48409,33.8993314,515
-84.4828619,33.8997993,1849
-84.4794095,33.7558972,415
-84.4790614,34.6853326,177
-84.4740902,33.8861073,1880
-84.4731279,33.6230596,4
-84.4727414,33.923886,89
-84.4697663,33.9290987,39
-84.4659889,34.2656479,247
-84.4650924,34.2628007,3
-84.4650382,34.2626915,779
-84.4648145,34.2611167,1073
-84.4647234,33.9193601,3
-84.455018,34.4614369,10
-84.454712,33.442484,17
-84.4544739,33.4524417,374
-84.454453,34.453889,591
-84.4537221,34.4495544,197
-84.4507317,33.7602883,4
-84.4496179,33.8991206,2042
-84.448772,33.7946333,3124
-84.442743,33.4432651,31
-84.4382311,33.4755386,2
-84.4376568,33.4762111,11
-84.4345392,33.5044345,2
-84.41654,33.5457954,733
-84.4149435,33.5548754,103
-84.4115788,33.5719925,23
-84.4080375,33.6746022,2
-84.4015075,33.5528023,187
-84.380832,33.8910313,82
-84.3800508,33.9080579,25
-84.3800043,33.9318881,1515
-84.3789153,33.8761658,2
-84.3784358,33.6201929,19
-84.369479,33.5562962,195
-84.3690594,33.8378669,1693
-84.3668104,33.8305526,897
-84.3659696,33.9632442,1083
-84.3646257,33.9621759,773
-84.3645891,33.9647108,814
-84.3645462,33.9564736,1075
-84.363914,33.531796,10
-84.3622498,34.0103319,841
-84.3598768,33.9159602,7
-84.3583947,33.8544526,60
-84.357991,33.9713005,283
-84.3578926,33.8222059,617
-84.3546034,34.0307391,287
-84.3539568,34.0303769,380
-84.3530674,34.0318622,109
-84.3518635,33.5367275,6
-84.3508432,33.5371793,14
-84.3508365,33.5371604,24
-84.350379,34.0337878,164
-84.3490818,33.6136062,39
-84.3490692,34.0332293,432
-84.3484394,33.5538617,595
-84.348144,34.033738,275
-84.3474316,33.5570948,2670
-84.347361,34.0359389,190
-84.3459066,33.5559477,134
-84.345838,34.03316,253
-84.3448034,33.5670121,99
-84.3445812,33.5603734,499
-84.3445398,33.5734647,71
-84.3442611,33.5682056,770
-84.3442475,33.5631256,1
-84.3441303,33.5625247,273
-84.3426596,33.5697585,1078
-84.342588,33.9137806,79
-84.3411386,34.0456739,624
-84.3401415,34.0350597,8
-84.3398719,34.0525048,6
-84.3391144,34.0353002,15
-84.3370101,34.0517319,1227
-84.3368596,34.0423569,1098
-84.3355906,34.0509131,211
-84.3355345,34.8491782,400
-84.3350883,34.0523239,922
-84.3348465,32.9194331,18
-84.3340047,34.0513978,815
-84.3306715,34.0528649,22
-84.329735,33.84203,956
-84.329294,34.0561802,588
-84.3292882,34.0432373,594
-84.3288176,34.0577588,1375
-84.3281738,34.0218353,811
-84.3278728,34.0585091,2785
-84.326809,34.059373,2902
-84.3250937,34.0587846,1129
-84.3248991,34.0612258,1
-84.3247866,34.0408632,872
-84.3244322,34.0595632,826
-84.3226029,34.0420209,102
-84.3224125,34.0412117,593
-84.3211401,34.0409145,352
-84.3200566,34.0394314,751
-84.3190276,33.5677939,536
-84.3165846,33.5662272,1581
-84.3157288,33.8541892,1
-84.3147527,34.0388389,537
-84.3130145,33.5679367,997
-84.3126975,33.8165558,5
-84.3123379,34.0657563,199
-84.3091344,33.868407,1
-84.308266,33.8936309,601
-84.3063741,33.7890527,2
-84.3039979,34.0598394,517
-84.3039765,34.0595372,28
-84.30362,33.8966373,620
-84.3017268,34.0674414,69
-84.3013638,33.8988831,1596
-84.2979573,33.9022589,576
-84.2968891,33.9042483,564
-84.2956992,33.9045041,1
-84.295457,33.9047615,2822
-84.2945751,33.9043285,1
-84.2944272,33.8733059,72
-84.2944077,33.8733218,303
-84.2943595,33.9058456,2877
-84.2942913,33.9069814,1369
-84.2927831,33.907413,1622
-84.292175,34.238789,49
-84.2920898,33.3013732,897
-84.292084,33.9094951,1337
-84.291744,33.299107,479
-84.29112,33.306053,629
-84.2909696,33.9090814,499
-84.2909331,33.2817377,55
-84.2901731,33.9111599,1078
-84.28992,33.305656,556
-84.2898669,33.5496808,7265
-84.2891394,33.8830326,26
-84.2884653,33.9096934,1243
-84.2883412,33.863595,26
-84.2872407,33.897252,294
-84.2852995,33.8835769,228
-84.2846829,33.7941241,870
-84.2833523,33.9086381,505
-84.2825227,33.7978234,143
-84.280446,34.038485,2
-84.2784942,33.8049554,133
-84.2760646,33.902931,48
-84.2751365,33.5477258,22
-84.2723253,34.893401,393
-84.2718028,33.246648,29
-84.2697923,33.907062,687
-84.269459,33.755498,186
-84.2674042,33.8864108,214
-84.2646082,33.7939847,78
-84.263045,34.095875,6
-84.2623661,33.8861785,33
-84.260602,33.558518,31
-84.2581373,34.1274017,397
-84.2579931,34.1282148,126
-84.2577362,34.1268238,809
-84.2577219,33.9349017,5
-84.2565088,33.9252079,89
-84.2552667,33.9202638,35
-84.2545076,33.9669723,2
-84.2544643,33.9669314,8
-84.2544642,33.9669314,100
-84.2537734,34.1320306,169
-84.2515847,34.1458737,236
-84.2502753,33.8474863,5
-84.2491376,34.1347388,101
-84.2488282,33.9686558,11
-84.248685,33.7617551,2
-84.248378,34.1403821,30
-84.2478499,34.1368652,788
-84.246304,33.898415,600
-84.2435203,34.1441152,97
-84.2404582,34.1357002,1149
-84.2402159,34.1265953,71
-84.2401782,34.1260839,20
-84.2400427,34.1261244,150
-84.2398614,33.7795181,256
-84.2384993,34.1084373,33
-84.2378202,34.1107673,292
-84.237449,33.838306,20
-84.2374024,33.9369654,10
-84.237319,34.114011,231
-84.2372645,33.9523201,81
-84.2366266,34.2379419,71
-84.2354123,33.9630422,6
-84.2339306,33.8428344,2
-84.2334958,33.754025,226
-84.229838,33.8485439,2
-84.2289613,34.1239535,4
-84.2261928,33.9313429,440
-84.224044,33.849376,207
-84.2238252,33.911282,3
-84.2185915,34.1295345,7
-84.2164261,33.7386097,647
-84.2153846,33.8529836,10
-84.2123583,33.8539933,9
-84.211123,33.5413129,6
-84.2107348,33.8016326,1380
-84.2053579,34.2397804,2
-84.2040878,33.9438617,295
-84.2001608,33.9474124,344
-84.197433,34.240672,125
-84.1973271,33.848377,152
-84.1947725,33.953185,2682
-84.193126,33.8314032,3
-84.1930162,33.8579013,175
-84.1929803,34.2396981,80
-84.1893912,33.4299152,949
-84.1882655,33.8065698,122
-84.1880544,33.4293495,68
-84.1862882,33.4295606,5
-84.1862537,33.4296507,1497
-84.182305,33.97452,41
-84.1787036,33.4238874,1532
-84.178147,33.9670401,205
-84.1775338,34.0483489,186
-84.1774308,33.9672608,374
-84.1737868,34.1437479,643
-84.1720621,34.1434919,187
-84.1720114,34.2363238,173
-84.1710076,33.9327112,11684
-84.170824,33.970564,241
-84.1698599,33.4195411,469
-84.1692278,33.4190488,2
-84.1665518,33.9734027,275
-84.1639603,34.1670398,730
-84.1624848,34.0211044,180
-84.1622827,33.4146165,49
-84.1621264,34.0219528,28
-84.1598483,33.9420242,7
-84.1594634,34.0194009,623
-84.1578777,34.0192802,169
-84.1556544,33.9833316,354
-84.1535208,33.0364561,71
-84.1533601,33.4180439,158
-84.1521616,33.9929736,56
-84.1482201,34.1812332,1252
-84.1462769,33.8887523,1373
-84.1460992,33.9675947,1299
-84.144638,34.212181,82
-84.1445306,33.9669346,368
-84.1437471,33.9662083,1002
-84.1428365,33.9678672,2589
-84.1428149,33.8912311,22
-84.1420585,33.4493051,60
-84.1402446,33.9628685,2782
-84.1369672,34.2052757,143
-84.1363754,34.194473,572
-84.1352584,34.1925656,100
-84.1348415,34.1918115,54
-84.133846,34.2109158,11
-84.1331552,33.9608664,1049
-84.1312372,33.9665008,709
-84.1310662,33.7164172,2
-84.1307579,33.9648763,665
-84.1292663,33.9653151,1286
-84.1289761,33.8998751,906
-84.1281846,33.9657017,917
-84.1271533,34.1759468,851
-84.1243591,33.9651444,1904
-84.1236944,34.1697886,813
-84.123544,33.9042606,387
-84.1220978,33.9645938,1787
-84.1202559,33.9615649,1442
-84.119323,33.959095,3190
-84.1182889,33.9597063,948
-84.1165159,33.9608473,686
-84.1161511,33.9608691,1280
-84.116133,33.90331,286
-84.1144664,33.9614715,1122
-84.1111505,34.1592026,1572
-84.1110621,33.7191865,1
-84.1107321,33.9630494,92
-84.1107218,33.9630322,273
-84.1096099,33.9634619,915
-84.1066201,33.9651439,451
-84.1065782,33.823757,586
-84.1057965,33.6977327,395
-84.103907,33.696267,471
-84.1036682,33.8254197,971
-84.1026445,33.8241892,426
-84.1010619,33.6948551,1200
-84.0992119,33.9773076,22
-84.097219,33.338496,133
-84.0939655,33.9654258,1105
-84.0899784,33.733857,49
-84.085075,34.26296,17
-84.082988,33.8346703,24
-84.082443,33.8333692,2162
-84.0814233,33.8353908,123
-84.0778465,33.8361024,226
-84.0752297,34.0660727,24
-84.0740963,33.9682163,83
-84.073133,33.968207,4
-84.0686167,34.2537033,508
-84.0640926,34.0632595,2
-84.061719,33.841126,624
-84.0583995,33.9276899,135
-84.057159,33.927748,212
-84.0562198,33.8449,1
-84.0554697,33.8450216,72
-84.0553169,33.6789368,14
-84.0545911,34.3416473,16
-84.054374,33.673144,1017
-84.0539887,34.3414149,169
-84.053601,33.8458685,431
-84.053189,33.8446903,591
-84.0529922,33.6727474,150
-84.0528159,33.9275617,1
-84.0513487,34.3471541,1366
-84.0501735,33.8473893,29
-84.0501114,33.8463776,810
-84.0486872,33.9286648,367
-84.0476137,33.9293944,289
-84.043815,34.1116194,6
-84.0424383,33.3221967,47
-84.0387566,33.6689789,165
-84.0377655,33.6655355,20
-84.0373797,33.6669822,785
-84.034674,33.665869,1386
-84.0333396,34.1071794,148
-84.032019,33.8556045,5
-84.0285838,33.8546609,301
-84.0228466,33.6591385,151
-84.0218412,34.3391447,69
-84.0210875,33.8569889,1
-84.0168541,34.0996657,1166
-84.0165027,33.6578781,773
-84.0143792,33.6407171,888
-84.0111378,34.8617178,118
-84.0105394,34.0954221,775
-84.0096691,34.0939018,233
-84.0074966,34.0926634,2826
-84.0067848,34.09157,882
-84.005045,33.9614773,1231
-84.0044098,34.1065047,1553
-84.0032431,34.0939972,23
-84.0015487,33.9579452,62
-83.9999424,34.1092915,249
-83.9980805,33.8560976,222
-83.9971528,33.9262276,1447
-83.9912814,34.0326909,10
-83.9907591,33.6459776,1291
-83.9903652,34.8528269,242
-83.9894923,33.9446744,81
-83.9888665,34.0843005,1534
-83.9884119,34.0849567,1068
-83.9882394,34.081092,1909
-83.9882081,33.9446966,206
-83.98779,34.44428,191
-83.9875292,34.1539901,13
-83.9867542,33.9717821,14
-83.9864321,34.0829206,1120
-83.9860252,33.9741949,581
-83.9859491,33.967353,78
-83.9859268,34.1533429,678
-83.985802,34.0818739,1882
-83.9856608,33.9685329,321
-83.985571,34.0776879,933
-83.985008,33.6392536,2947
-83.9848013,34.1423375,135
-83.9846161,34.0798993,2
-83.9846159,34.0784928,1002
-83.9834142,34.0778464,1940
-83.9831266,34.0762046,675
-83.9803708,34.1298925,138
-83.9784773,33.9693711,98
-83.9673432,33.2932764,11
-83.9591712,33.8873398,225
-83.9454888,33.9873515,8
-83.9426417,33.8564729,207
-83.9425914,33.8542939,125
-83.9406357,33.8822953,70
-83.940064,33.8150252,465
-83.9396386,33.8151791,10
-83.9345325,34.2646726,30
-83.9291641,33.8537037,8
-83.9291493,33.8531564,53
-83.9287444,33.981858,35
-83.9160919,33.8498652,174
-83.9158579,33.8481248,571
-83.9130179,33.0287676,5
-83.9129884,34.1959863,57
-83.909621,33.0104096,17
-83.907771,34.2750068,13
-83.9025026,34.1924585,148
-83.8982934,33.8440545,22
-83.8978815,33.8436097,93
-83.895701,34.207362,2
-83.8950042,34.2292795,28
-83.894341,34.2429045,12
-83.880484,33.606363,441
-83.873566,34.277698,596
-83.8726063,34.2772914,506
-83.868973,33.8306035,378
-83.8688353,34.2217644,129
-83.8685001,33.8305544,1061
-83.8634905,33.5971107,41
-83.8624648,34.2297335,1180
-83.8615595,34.275075,1346
-83.8615102,34.224235,1586
-83.860405,34.2742239,520
-83.859902,34.275704,419
-83.859185,34.274336,708
-83.8578099,34.2751528,201
-83.857704,34.276066,428
-83.855544,34.205288,47
-83.8501359,34.2821325,800
-83.8463034,34.2851593,359
-83.8457953,33.602234,558
-83.842861,34.285436,136
-83.8428211,33.8300507,31
-83.8403019,34.2686497,256
-83.840188,34.2693401,61
-83.840018,34.278415,160
-83.839967,34.2808769,30
-83.8394833,34.2830093,23
-83.839236,34.28592,152
-83.8342608,33.5847611,934
-83.822142,33.8240812,4
-83.7850916,34.2801962,23
-83.7722367,32.9069954,3
-83.7630686,34.5578643,651
-83.7623179,34.5561475,165
-83.7612429,34.5865566,138
-83.7566491,34.5114487,96
-83.7509779,34.1186278,31
-83.7490043,32.6567003,648
-83.7459253,32.6649038,499
-83.7418219,34.0842221,59
-83.7387822,33.9931579,2802
-83.7294801,34.3707169,321
-83.715856,33.989998,7
-83.7123687,32.9234125,352
-83.711329,32.922438,690
-83.7103448,33.9991043,11
-83.709521,32.921563,713
-83.7094971,32.9236403,640
-83.7094533,32.9165336,1013
-83.7092704,32.9202863,440
-83.7090431,32.9226624,637
-83.7079484,32.9152969,578
-83.706814,32.914459,696
-83.7016253,33.7715038,151
-83.691771,34.583449,13
-83.6905775,32.9041188,989
-83.68441,32.9051535,644
-83.6825107,32.8139305,678
-83.6811164,32.8244582,15
-83.6790796,32.6176549,779
-83.6790382,32.6089798,1125
-83.6766035,32.8887133,611
-83.6756079,32.6033015,1000
-83.6742985,32.8862565,227
-83.671819,32.8485919,33
-83.6700378,32.8814445,12
-83.664286,32.6186561,95
-83.6641409,32.874715,9
-83.6593885,32.7723214,24
-83.6483006,32.858894,8
-83.6467715,32.856494,504
-83.6454486,32.858105,879
-83.6402135,32.618767,178
-83.6358286,32.5929177,8
-83.6335379,32.5944565,340
-83.6331161,32.8294931,323
-83.6307809,32.8339877,28
-83.6272774,32.8381712,30
-83.6225068,32.592285,229
-83.6126892,32.6186039,18
-83.6038597,32.6181523,956
-83.5882196,34.1312043,46
-83.58292,34.48382,328
-83.5758,34.117031,196
-83.559583,34.1930373,1
-83.5316793,34.4981371,9
-83.528819,34.5238925,146
-83.4988517,33.9403503,1555
-83.49129,34.220295,179
-83.4856913,32.886946,10
-83.48521,33.9394873,370
-83.4827115,33.9414331,733
-83.482676,33.9414569,313
-83.4787325,33.9394015,644
-83.4778168,33.561011,176
-83.4772015,33.9418655,386
-83.4556867,34.237158,594
-83.4516725,33.9408453,180
-83.4423125,33.9438812,91
-83.4401892,33.9445409,325
-83.4395369,33.9470196,507
-83.4367656,33.9455872,263
-83.4254639,33.9473454,454
-83.4028486,33.8527972,10
-83.390131,33.969885,26
-83.3843057,33.9999752,63
-83.3306124,34.5776752,5
-83.293853,34.564688,13
-83.2828266,34.5466083,37
-83.2760477,33.429869,2
-83.275853,33.153841,441
-83.2746271,33.1534232,148
-83.265356,33.1277359,1
-83.2605116,33.114801,364
-83.2579101,33.106066,699
-83.2544322,33.1076753,88
-83.2013212,33.5525508,690
-83.1342824,34.2851836,601
-83.1235416,34.2834797,160
-83.0983692,34.4498008,3
-83.0439127,34.7483799,765
-83.0424102,34.7498819,80
-82.9682599,34.6959484,625
-82.9591896,32.5950298,554
-82.8874663,34.7003052,1272
-82.789576,34.639766,342
-82.7493288,34.5944042,34
-82.742417,34.515262,91
-82.7399903,34.5851045,24
-82.6962404,34.5530998,447
-82.6954816,34.554012,537
-82.6935276,34.5224307,42
-82.6898652,34.5307396,187
-82.6888753,34.5575316,168
-82.6860063,34.5591734,69
-82.6853105,34.5562576,144
-82.68388,34.55661,393
-82.6830058,34.5003175,249
-82.6796858,34.5512932,369
-82.678357,34.5031279,16
-82.6744999,34.5507493,970
-82.658226,34.848872,4
-82.6326057,34.5330145,116
-82.5694969,34.8252016,920
-80.6520817,26.6782932,175
-80.476712,25.466432,14
-80.4763621,25.4546379,427
-80.472117,25.46753,406
-80.4689501,25.4597062,348
-80.4654608,25.4916124,29
-80.4628833,25.4820361,298
-80.4619473,25.481515,1934
-80.4616389,25.4844904,150
-80.449722,25.496611,10
-80.4415006,25.5952315,9
-80.4238889,25.6339104,34
-80.4192901,25.6353063,16
